Previsao,Desvio.Padrao,Data
-5.82317645906784e-4,0.017624091395293827,2023-06-27
1.341443892740518e-4,0.017065688311589326,2023-06-28
1.4544130298466574e-4,0.01706555533623601,2023-06-29
1.4365658453042627e-4,0.01706928338601781,2023-06-30
1.4810722833878622e-4,0.01706618419428473,2023-07-01
1.5350521170317709e-4,0.01706814624027894,2023-07-02
1.4768408106663857e-4,0.017070214698196966,2023-07-03
1.4407731261931774e-4,0.017068365726225262,2023-07-04
1.4440599452421332e-4,0.01706785281911666,2023-07-05
1.4426408410930184e-4,0.01706667443737407,2023-07-06
